,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe
22,Inception_V3_Weights.IMAGENET1K_V1,77.294,93.45,27.2M,5.71,link
23,MNASNet0_5_Weights.IMAGENET1K_V1,67.734,87.49,2.2M,0.1,link
24,MNASNet0_75_Weights.IMAGENET1K_V1,71.18,90.496,3.2M,0.21,link
25,MNASNet1_0_Weights.IMAGENET1K_V1,73.456,91.51,4.4M,0.31,link
26,MNASNet1_3_Weights.IMAGENET1K_V1,76.506,93.522,6.3M,0.53,link
27,MaxVit_T_Weights.IMAGENET1K_V1,83.7,96.722,30.9M,5.56,link
28,MobileNet_V2_Weights.IMAGENET1K_V1,71.878,90.286,3.5M,0.3,link
29,MobileNet_V2_Weights.IMAGENET1K_V2,72.154,90.822,3.5M,0.3,link
30,MobileNet_V3_Large_Weights.IMAGENET1K_V1,74.042,91.34,5.5M,0.22,link
31,MobileNet_V3_Large_Weights.IMAGENET1K_V2,75.274,92.566,5.5M,0.22,link
32,MobileNet_V3_Small_Weights.IMAGENET1K_V1,67.668,87.402,2.5M,0.06,link
33,RegNet_X_16GF_Weights.IMAGENET1K_V1,80.058,94.944,54.3M,15.94,link
34,RegNet_X_16GF_Weights.IMAGENET1K_V2,82.716,96.196,54.3M,15.94,link
35,RegNet_X_1_6GF_Weights.IMAGENET1K_V1,77.04,93.44,9.2M,1.6,link
36,RegNet_X_1_6GF_Weights.IMAGENET1K_V2,79.668,94.922,9.2M,1.6,link
37,RegNet_X_32GF_Weights.IMAGENET1K_V1,80.622,95.248,107.8M,31.74,link
38,RegNet_X_32GF_Weights.IMAGENET1K_V2,83.014,96.288,107.8M,31.74,link
39,RegNet_X_3_2GF_Weights.IMAGENET1K_V1,78.364,93.992,15.3M,3.18,link
40,RegNet_X_3_2GF_Weights.IMAGENET1K_V2,81.196,95.43,15.3M,3.18,link
41,RegNet_X_400MF_Weights.IMAGENET1K_V1,72.834,90.95,5.5M,0.41,link
42,RegNet_X_400MF_Weights.IMAGENET1K_V2,74.864,92.322,5.5M,0.41,link
43,RegNet_X_800MF_Weights.IMAGENET1K_V1,75.212,92.348,7.3M,0.8,link
44,RegNet_X_800MF_Weights.IMAGENET1K_V2,77.522,93.826,7.3M,0.8,link
45,RegNet_X_8GF_Weights.IMAGENET1K_V1,79.344,94.686,39.6M,8.0,link
46,RegNet_X_8GF_Weights.IMAGENET1K_V2,81.682,95.678,39.6M,8.0,link
47,RegNet_Y_128GF_Weights.IMAGENET1K_SWAG_E2E_V1,88.228,98.682,644.8M,374.57,link
48,RegNet_Y_128GF_Weights.IMAGENET1K_SWAG_LINEAR_V1,86.068,97.844,644.8M,127.52,link
49,RegNet_Y_16GF_Weights.IMAGENET1K_V1,80.424,95.24,83.6M,15.91,link
